country_a,country_b,probability,news_negativity,news_intensity,escalation_keywords,contiguity,distance_closeness,common_language,both_in_nato,mil_exp_mean,ucdp_recent_interstate,bias,w_news_negativity,w_news_intensity,w_escalation_keywords,w_contiguity,w_distance_closeness,w_common_language,w_both_in_nato,w_mil_exp_mean,w_ucdp_recent_interstate
Afghanistan,Lebanon,0.10689401735026614,0.0,0.0,0.0,0.0,0.21343253320005023,0.0,0.0,0.5209913099863362,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Libya,0.11183711729920218,0.0,0.0,0.0,0.0,0.0767993194650448,0.0,0.0,0.6945077475602736,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Lithuania,0.1070877142435721,0.0,0.0,0.0,0.0,0.13246795657142274,0.0,0.0,0.5614806995532302,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Luxembourg,0.09809858477216175,0.0,0.0,0.0,0.0,0.07049820714885288,0.0,0.0,0.3719290673883562,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Malaysia,0.09852391269448754,0.0,0.0,0.0,0.0,0.08864124593110398,0.0,0.0,0.3745278248003775,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Moldova, Republic of",0.09816896983996276,0.0,0.0,0.0,0.0,0.16308503941801045,0.0,0.0,0.3325466524434926,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Montenegro,0.1002464923099215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4566916237320774,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Myanmar,0.11721254760897826,0.0,0.0,0.0,0.0,0.1891706048350715,0.0,0.0,0.7623785579905523,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Netherlands,0.1017992225925508,0.0,0.0,0.0,0.0,0.06851517674042386,0.0,0.0,0.4642351243409152,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,North Macedonia,0.10347646951737977,0.0,0.0,0.0,0.0,0.12255829311752263,0.0,0.0,0.48068453516234744,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Norway,0.10267278874471358,0.0,0.0,0.0,0.0,0.08148787848843542,0.0,0.0,0.47961992869080106,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Oman,0.12023548173225025,0.0,0.0,0.0,0.0,0.4520461511717151,0.0,0.0,0.7097525747598078,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Pakistan,0.9119837031318421,0.8792714285714287,0.6764458333927408,1.0,1.0,0.8291732988802004,0.0,0.0,0.5272817360313264,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Philippines,0.09938754126138837,0.0,0.0,0.0,0.0,0.06026962701948669,0.0,0.0,0.40866177641821544,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Poland,0.10984149102589313,0.0,0.0,0.0,0.0,0.11836425529012863,0.0,0.0,0.6310354177688727,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Portugal,0.09972069640484126,0.0,0.0,0.0,0.0,0.03351805600927691,0.0,0.0,0.4288101744978208,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Qatar,0.09636484596723759,0.0,0.0,0.0,0.0,0.37010723167292064,1.0,0.0,0.7504318491750199,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Romania,0.1019051464599319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4972594526297619,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Russian Federation,0.12073658061759035,0.0,0.029824132992454778,0.0,0.0,0.18567396865748115,0.0,0.0,0.772372649972743,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Saudi Arabia,0.1203792334846492,0.0,0.0,0.0,0.0,0.29738773100301963,0.0,0.0,0.781508055529472,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Serbia,0.10290940648428515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5215382209529038,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Singapore,0.10513135582409426,0.0,0.0,0.0,0.0,0.07585391192715357,0.0,0.0,0.5408063389834898,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Slovakia,0.1028137123132013,0.0,0.0,0.0,0.0,0.1049380608026491,0.0,0.0,0.47259466921919857,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Slovenia,0.09994410155462989,0.0,0.0,0.0,0.0,0.09444732568938138,0.0,0.0,0.40725490961580324,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Spain,0.09950372130913392,0.0,0.0,0.0,0.0,0.04305630935836746,0.0,0.0,0.4191949990442916,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Sweden,0.10268235039751317,0.0,0.0,0.0,0.0,0.10040020800135609,0.0,0.0,0.4714450685802909,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Syrian Arab Republic,0.28621755558579004,0.3815848214285714,0.39765510656606373,0.0,0.0,0.22062276095322753,0.0,0.0,0.6249437504218909,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Taiwan, Province of China",0.10164261107249006,0.0,0.0,0.0,0.0,0.07785610217680412,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Tajikistan,0.2432573922340361,0.0,0.0,0.0,1.0,0.7948326417586632,0.0,0.0,0.45806756054738884,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Thailand,0.09985738946421562,0.0,0.0,0.0,0.0,0.14203134589531183,0.0,0.0,0.3839635259395079,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Tunisia,0.10395355534515424,0.0,0.0,0.0,0.0,0.0723449954272964,0.0,0.0,0.5144065997876899,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Turkmenistan,0.2430857895688803,0.0,0.0,0.0,1.0,0.5937092841783511,0.0,0.0,0.5453836645293182,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Türkiye,0.10643745504459236,0.0,0.029824132992454778,0.0,0.0,0.16682598763903178,0.0,0.0,0.46478194097443026,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Ukraine,0.12812074766799214,0.0,0.0,0.0,0.0,0.1669079193115421,0.0,0.0,0.9976458540496499,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,United Arab Emirates,0.11933139818732193,0.0,0.0,0.0,0.0,0.4038113360782716,0.0,0.0,0.7121351562254609,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,United Kingdom,0.46887230442569616,0.7428571428571429,0.30511994749206756,0.25,0.0,0.05732382199700691,0.0,0.0,0.49561997359076704,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,United States,0.14755744668276047,0.09186428571428572,0.19917825133872377,0.0,0.0,0.004409738007580741,0.0,0.0,0.582939950831912,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Uzbekistan,0.24630588319856594,0.0,0.0,0.0,1.0,0.6868526795519492,0.0,0.0,0.5427045559553394,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Viet Nam,0.10276527307360966,0.0,0.0,0.0,0.0,0.14340944331802458,0.0,0.0,0.4543290865100441,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Yemen,0.11080878527589019,0.0,0.0,0.0,0.0,0.19399197243034083,0.0,0.0,0.6193230313635851,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Albania,Algeria,0.12543168971498803,0.0,0.0,0.0,0.0,0.4644650340943897,0.0,0.0,0.8114175412531439,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Albania,Armenia,0.1183927009579425,0.0,0.0,0.0,0.0,0.35383396545960216,0.0,0.0,0.7144301388132901,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Albania,Azerbaijan,0.11972100278150356,0.0,0.037633865758823735,0.0,0.0,0.28352782853910674,0.0,0.0,0.6901905067127241,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Albania,Bahrain,0.10821654728791062,0.0,0.0,0.0,0.0,0.19345903390723007,0.0,0.0,0.5604869850418837,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Albania,Belarus,0.11080189723172529,0.0,0.0,0.0,0.0,0.47103659104012224,0.0,0.0,0.4960367345327228,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
