country_a,country_b,probability,news_negativity,news_intensity,escalation_keywords,contiguity,distance_closeness,common_language,both_in_nato,mil_exp_mean,ucdp_recent_interstate,bias,w_news_negativity,w_news_intensity,w_escalation_keywords,w_contiguity,w_distance_closeness,w_common_language,w_both_in_nato,w_mil_exp_mean,w_ucdp_recent_interstate
Afghanistan,Cuba,0.10385128459867328,0.0,0.0,0.0,0.0,0.001539650248059548,0.0,0.0,0.5434346971880718,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cyprus,0.10312944231906723,0.0,0.0,0.0,0.0,0.1961283474761306,0.0,0.0,0.43966156763968334,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Czechia,0.10228575948593119,0.0,0.0,0.0,0.0,0.09498730764919963,0.0,0.0,0.4642693295713254,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Côte d'Ivoire,0.09631822177189299,0.0,0.0,0.0,0.0,0.017037951192358944,0.0,0.0,0.3506058806559975,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Denmark,0.10393949901839601,0.0,0.0,0.0,0.0,0.08813848572975756,0.0,0.0,0.5070519075531255,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Djibouti,0.10600689129913965,0.0,0.0,0.0,0.0,0.15976392852666327,0.0,0.0,0.5241183373201307,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Dominica,0.10026587924102129,0.0,0.0,0.0,0.0,0.0020124850042573753,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Dominican Republic,0.09613694399653581,0.0,0.0,0.0,0.0,0.0017386610038835765,0.0,0.0,0.35277351233642207,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Ecuador,0.10165115775410839,0.0,0.0,0.0,0.0,0.0005669156674243202,0.0,0.0,0.4908335285931348,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Egypt,0.09852919027718536,0.0,0.0,0.0,0.0,0.16660000820494938,0.0,0.0,0.3400115292943173,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,El Salvador,0.09778024664035209,0.0,0.0,0.0,0.0,0.000823678725765198,0.0,0.0,0.39488827646946545,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Equatorial Guinea,0.09744531568223899,0.0,0.0,0.0,0.0,0.028883089313194128,0.0,0.0,0.3739676835263678,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Eritrea,0.12687259335670278,0.0,0.0,0.0,0.0,0.15674358897289065,0.0,0.0,0.9772292818690199,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Estonia,0.10763999843737827,0.0,0.0,0.0,0.0,0.12009658319113804,0.0,0.0,0.5797852318840158,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Eswatini,0.09912928220384,0.0,0.0,0.0,0.0,0.019524493982138152,0.0,0.0,0.4203516009196513,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Ethiopia,0.09768740443507606,0.0,0.0,0.0,0.0,0.12268894857317238,0.0,0.0,0.33838627087480955,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Fiji,0.09829727503299537,0.0,0.0,0.0,0.0,0.0015961273338866923,0.0,0.0,0.407538195204889,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Finland,0.10411257116737167,0.0,0.0,0.0,0.0,0.11914703027537425,0.0,0.0,0.4973967892223822,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,France,0.10215884445300764,0.0,0.0,0.0,0.0,0.0611032330578946,0.0,0.0,0.47625575147218646,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Gabon,0.09961697476370536,0.0,0.0,0.0,0.0,0.026467333619114776,0.0,0.0,0.42937523625463814,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Gambia,0.09542997132886705,0.0,0.0,0.0,0.0,0.012288265455331224,0.0,0.0,0.3299451478581802,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Georgia,0.10631412103824253,0.0,0.0,0.0,0.0,0.32126289612457365,0.0,0.0,0.4595359801346941,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Germany,0.10179636039737514,0.0,0.0,0.0,0.0,0.07329543135994558,0.0,0.0,0.46204100438035334,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Ghana,0.09473252513563847,0.0,0.0,0.0,0.0,0.02037921031450223,0.0,0.0,0.30833578052157185,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Greece,0.10709877606048256,0.0,0.0,0.0,0.0,0.1314360312623885,0.0,0.0,0.5621963996900694,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Grenada,0.1002609727686266,0.0,0.0,0.0,0.0,0.001740539772120002,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Guatemala,0.09432529491971955,0.0,0.0,0.0,0.0,0.0008427754546790873,0.0,0.0,0.3064458688502846,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
